NUTS1 Region,LA code,LA name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
North West,E08000001,Bolton,2.0,-2.9,-2.9,2.9,1.2,-5.0,3.7,12.6,-7.2,2.2,4.5,1.2
North West,E08000002,Bury,2.0,-0.7,-3.1,3.5,0.4,3.7,1.5,-6.3,5.1,2.2,-1.0,0.6
North West,E08000003,Manchester,4.1,0.6,-2.3,2.4,1.9,3.0,-1.2,1.9,3.4,5.2,5.5,1.5
North West,E08000004,Oldham,2.0,-1.1,-2.6,2.2,1.3,-2.9,4.2,1.8,4.3,0.2,7.1,-3.6
North West,E08000005,Rochdale,2.1,-1.9,-3.9,2.2,-2.8,5.2,0.9,-3.1,3.9,-2.9,2.1,-0.6
North West,E08000006,Salford,2.7,0.6,-4.1,2.1,1.2,10.4,8.2,1.3,3.4,-5.1,0.7,7.2
North West,E08000007,Stockport,1.2,1.0,-2.0,2.3,0.9,0.9,-1.3,-3.2,2.1,2.0,7.5,1.0
North West,E08000008,Tameside,1.6,-0.8,-2.6,2.9,0.8,1.4,0.9,3.1,-0.4,-1.3,-1.3,0.5
North West,E08000009,Trafford,0.7,0.2,-8.7,2.3,5.8,-0.5,4.0,-2.5,3.8,3.9,1.3,3.2
North West,E08000010,Wigan,1.7,-4.3,-3.8,3.4,0.8,-0.5,4.6,0.9,6.2,-0.9,0.7,0.8
North West,E08000011,Knowsley,1.9,-2.0,-4.3,3.3,2.4,-1.5,2.9,3.3,4.4,6.0,2.7,1.9
North West,E08000013,St. Helens,0.1,-4.7,-2.8,2.5,-0.9,-3.9,1.1,2.7,0.9,-2.6,3.5,-0.9
North West,E08000012,Liverpool,-2.7,-0.1,2.3,-1.1,-0.6,-2.9,0.1,3.0,1.6,-0.7,0.1,2.5
North West,E08000014,Sefton,-1.4,-5.1,2.0,1.1,-3.6,-3.8,2.1,2.5,-0.8,4.6,0.7,1.0
North West,E08000015,Wirral,-0.1,-3.9,-0.7,-2.7,8.4,-4.7,-3.3,2.9,3.8,-2.8,4.2,-3.5
Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",0.1,2.6,-3.4,-4.3,-3.9,-1.6,-0.8,0.2,2.7,1.4,1.7,-0.5
Yorkshire and The Humber,E06000011,East Riding of Yorkshire,-0.5,-3.0,-4.8,0.0,1.9,0.3,0.2,4.2,3.4,-2.9,5.5,3.4
Yorkshire and The Humber,E06000012,North East Lincolnshire,4.6,-3.7,-4.6,0.8,3.3,-0.6,0.3,5.2,2.7,0.3,0.0,-5.8
Yorkshire and The Humber,E06000013,North Lincolnshire,2.5,-3.1,0.9,1.6,-0.5,-6.3,-3.7,-0.4,1.9,-0.6,3.8,-2.1
Yorkshire and The Humber,E06000014,York,1.8,-3.7,-6.8,1.3,4.9,2.3,1.0,0.5,-1.6,1.4,2.1,3.9
Yorkshire and The Humber,E07000163,Craven,5.1,-3.0,-3.7,2.6,2.0,-1.2,0.4,4.7,1.5,1.7,11.4,0.3
Yorkshire and The Humber,E07000164,Hambleton,0.9,-1.5,-6.2,1.0,3.1,-3.0,8.2,-1.6,0.9,0.5,1.3,-0.8
Yorkshire and The Humber,E07000165,Harrogate,4.3,-2.2,-6.4,2.2,6.1,-2.1,5.0,0.1,2.2,4.2,6.5,-1.7
Yorkshire and The Humber,E07000166,Richmondshire,1.5,-2.5,-4.2,1.8,5.4,-2.1,6.8,-2.3,-1.1,0.8,6.6,0.3
