NUTS1 Region,LA code,LA name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
London,E09000013,Hammersmith and Fulham,6.7,1.1,-5.3,6.5,3.3,13.8,2.4,5.8,8.5,1.2,5.9,1.2
London,E09000014,Haringey,4.5,-1.1,-5.7,7.2,3.4,4.3,-0.4,5.6,5.0,-3.9,0.1,-1.6
London,E09000015,Harrow,3.5,-4.2,-8.7,5.4,3.9,-9.9,1.5,10.6,0.2,2.1,2.9,-4.0
London,E09000016,Havering,2.9,-5.0,-9.0,6.0,-0.3,5.0,2.6,3.7,1.5,2.8,0.8,1.1
London,E09000017,Hillingdon,6.3,-3.1,-9.0,1.5,6.4,3.0,3.8,5.7,-0.9,-3.3,2.0,-0.8
London,E09000018,Hounslow,5.0,-1.5,-7.0,4.2,7.4,9.4,13.0,9.4,4.5,2.9,3.8,5.1
London,E09000019,Islington,9.2,4.1,-5.3,5.5,4.4,0.5,5.4,5.8,0.8,0.1,-0.7,2.9
London,E09000020,Kensington and Chelsea,7.7,1.1,-3.9,4.9,2.6,14.2,10.8,4.3,-0.4,-3.1,-3.5,7.5
London,E09000021,Kingston upon Thames,6.6,-1.6,-8.4,2.6,2.7,2.6,-4.6,7.1,0.2,8.4,-3.4,4.0
London,E09000022,Lambeth,9.4,2.8,-6.1,9.0,4.6,3.1,-1.0,9.6,0.9,2.7,4.2,-5.8
London,E09000023,Lewisham,4.4,0.4,-5.9,8.3,0.6,-3.6,1.0,2.5,6.7,-7.6,-0.1,-2.1
London,E09000024,Merton,3.5,-3.3,-9.4,4.1,2.0,3.3,6.9,1.5,1.7,0.0,-1.8,-0.2
London,E09000025,Newham,3.2,0.3,-5.8,6.6,3.9,8.1,2.1,1.0,3.6,1.5,2.0,1.1
London,E09000026,Redbridge,2.7,-4.5,-8.2,5.0,2.0,5.6,1.4,1.9,2.5,1.2,2.6,-1.0
London,E09000027,Richmond upon Thames,3.5,-4.0,-6.1,3.7,3.1,13.2,3.0,2.5,-1.9,2.9,4.0,8.3
London,E09000028,Southwark,8.1,1.4,-5.1,6.6,14.5,4.1,2.6,-2.7,3.4,4.9,0.7,3.5
London,E09000029,Sutton,3.0,-3.1,-8.9,4.6,0.2,4.8,1.1,-1.0,-0.8,3.6,2.0,-2.2
London,E09000030,Tower Hamlets,10.6,6.6,-4.2,-0.6,8.3,4.5,1.2,5.2,-1.4,-0.5,6.8,-1.5
London,E09000031,Waltham Forest,2.9,-3.9,-8.8,5.9,3.4,3.9,0.7,4.6,4.5,-1.5,1.9,1.7
London,E09000032,Wandsworth,5.2,-2.6,-0.3,-2.2,11.3,2.2,15.7,2.0,6.3,-12.7,-0.1,0.5
London,E09000033,Westminster,8.2,0.9,-6.5,2.5,5.4,3.8,0.0,5.9,-2.6,12.0,2.4,3.0
South East,E06000035,Medway,1.7,0.2,-5.2,5.9,1.8,4.5,-0.3,2.0,1.1,1.0,1.7,5.0
South East,E06000036,Bracknell Forest,3.3,0.5,-5.8,4.9,5.2,0.2,-1.2,0.2,9.0,-2.1,9.9,-6.5
South East,E06000037,West Berkshire,2.6,-1.1,-4.4,5.0,2.7,6.1,2.2,-2.3,6.6,-1.4,-1.3,0.2
South East,E06000038,Reading,3.3,4.0,-2.6,2.9,5.0,0.9,0.2,-2.6,7.2,0.6,0.1,2.8
South East,E06000039,Slough,0.6,1.8,-3.7,1.8,5.4,2.7,3.9,1.2,-2.6,3.0,-8.0,2.7
South East,E06000040,Windsor and Maidenhead,0.7,1.1,-4.5,3.7,5.2,3.1,10.6,-1.3,2.5,3.8,8.5,-2.7
South East,E06000041,Wokingham,2.7,-2.7,-4.2,4.0,2.3,7.6,-3.8,8.2,1.6,6.7,3.3,11.1
South East,E06000042,Milton Keynes,-4.0,4.9,-7.2,-0.5,5.5,2.4,8.0,9.8,6.0,0.9,4.7,2.7
South East,E06000043,Brighton and Hove,-0.6,2.5,-3.5,3.6,2.4,4.7,5.1,0.0,6.4,0.7,5.1,2.2
South East,E06000044,Portsmouth,3.8,1.4,-3.3,6.0,0.0,4.0,2.3,1.1,-1.2,0.0,2.3,-0.8
South East,E06000045,Southampton,1.1,-3.0,2.4,9.5,5.0,-3.6,-4.3,-14.5,5.3,-3.7,0.9,1.1
South East,E06000046,Isle of Wight,0.3,-0.1,-2.6,6.3,1.3,-1.4,4.6,3.4,1.4,-4.8,-0.4,0.1
South East,E07000004,Aylesbury Vale,3.1,4.4,-4.7,1.0,4.2,-2.2,7.5,-1.4,0.1,2.3,-2.0,2.9
South East,E07000005,Chiltern,-2.0,0.9,-1.5,2.7,-0.4,3.2,2.8,4.0,3.9,7.6,-0.3,5.3
South East,E07000006,South Bucks,0.9,-0.5,-7.0,6.8,3.6,-3.0,1.1,2.9,-0.3,-3.7,5.0,-3.7
South East,E07000007,Wycombe,1.8,-1.2,-4.3,3.5,4.2,0.5,-0.9,1.9,1.9,-0.6,-2.5,-1.8
South East,E07000061,Eastbourne,-1.0,2.1,-4.3,1.9,4.3,-2.9,3.6,0.2,-1.3,6.1,1.3,-3.3
South East,E07000062,Hastings,-1.1,2.6,-3.2,2.4,3.7,-2.9,0.1,3.8,2.8,3.3,-2.1,1.7
South East,E07000063,Lewes,-1.6,0.3,-4.1,2.5,-0.3,-1.7,1.9,3.7,6.4,-0.5,0.8,0.9
South East,E07000064,Rother,-1.4,2.1,-4.1,3.0,0.8,-2.5,6.4,1.8,6.3,4.0,-3.9,-3.3
South East,E07000065,Wealden,-0.9,0.1,-5.1,6.1,0.9,-1.7,1.9,4.4,3.9,1.8,3.8,-3.3
South East,E07000084,Basingstoke and Deane,0.2,0.3,-1.4,4.3,2.6,5.5,5.6,-6.1,-0.1,-3.3,5.6,4.6
South East,E07000085,East Hampshire,-0.2,-2.3,-1.0,9.0,3.7,0.6,-3.0,-4.8,-2.4,-10.9,6.1,-2.3
South East,E07000086,Eastleigh,1.4,-3.0,-6.1,6.2,3.6,5.9,0.9,9.4,-1.2,1.4,-0.4,4.8
South East,E07000087,Fareham,1.1,-1.0,-6.0,5.5,3.2,5.6,2.8,14.6,-7.4,1.3,0.5,0.8
South East,E07000088,Gosport,-0.6,1.0,-3.7,2.9,1.0,-3.2,6.3,4.5,-4.1,0.2,-0.4,4.1
South East,E07000089,Hart,5.0,0.2,-7.4,8.5,0.9,-1.9,7.6,3.7,7.1,5.5,-3.0,-2.7
South East,E07000090,Havant,3.6,0.0,-5.8,11.1,3.2,2.1,3.4,-0.5,-0.5,-1.4,-3.7,-5.3
South East,E07000091,New Forest,12.4,-17.7,6.1,13.4,1.6,-4.2,-8.4,-4.0,5.3,-6.5,4.6,-2.4
South East,E07000092,Rushmoor,3.9,0.7,-3.4,5.2,2.2,0.7,2.1,0.4,9.0,2.8,3.0,6.0
South East,E07000093,Test Valley,0.1,-1.1,-6.0,6.8,4.8,-1.3,5.2,29.2,-12.0,1.4,0.7,3.7
South East,E07000094,Winchester,3.6,1.6,-3.8,6.0,4.2,2.9,2.3,5.8,7.9,5.8,0.7,-2.6
South East,E07000105,Ashford,1.5,2.4,-6.8,4.1,4.3,-2.5,4.9,4.1,4.9,4.4,-0.6,0.3
South East,E07000106,Canterbury,0.7,1.9,-5.1,4.9,0.7,0.7,1.9,4.3,-0.6,-2.0,2.2,0.5
South East,E07000107,Dartford,3.1,0.6,-9.1,6.6,1.7,1.0,5.4,5.2,4.1,8.5,-7.3,-0.5
South East,E07000108,Dover,-1.2,2.0,-5.1,6.9,2.2,2.8,1.0,1.4,-0.4,-5.4,-0.2,3.2
South East,E07000109,Gravesham,-2.0,13.9,-9.8,8.9,-0.3,-3.6,9.2,-0.9,3.5,21.9,-11.0,3.6
South East,E07000110,Maidstone,3.1,1.5,-7.1,5.2,3.9,-4.0,4.0,4.7,0.9,4.2,1.3,1.8
South East,E07000111,Sevenoaks,1.0,-1.3,-7.0,7.6,5.5,10.0,0.2,0.2,8.5,2.5,5.9,0.6
South East,E07000112,Folkestone and Hythe,1.2,1.3,-6.4,3.0,2.8,1.3,1.2,-4.5,2.3,8.8,2.4,-3.6
South East,E07000113,Swale,1.1,0.2,-10.3,6.5,2.0,-11.4,7.6,2.3,2.9,3.4,-0.6,0.2
South East,E07000114,Thanet,1.0,2.3,-6.5,4.9,0.8,-1.0,2.1,0.6,2.0,1.2,4.0,0.3
South East,E07000115,Tonbridge and Malling,2.2,-0.3,-6.5,2.9,5.2,-2.8,1.4,1.0,1.9,1.1,5.8,-0.5
South East,E07000116,Tunbridge Wells,-0.4,4.1,-3.8,6.8,4.9,-6.8,-0.4,-1.3,17.0,6.4,-2.8,-3.7
South East,E07000177,Cherwell,1.2,2.8,-5.3,1.1,3.9,2.5,0.8,4.5,3.2,1.3,0.3,-4.1
South East,E07000178,Oxford,-0.1,2.5,-3.6,2.2,4.2,4.0,0.2,8.5,3.1,-1.6,-5.1,0.8
South East,E07000179,South Oxfordshire,1.6,-0.6,-6.0,6.6,5.2,2.7,5.9,1.9,7.4,-6.4,5.4,-3.3
South East,E07000180,Vale of White Horse,1.3,-1.1,-4.2,7.0,2.7,2.0,7.3,-2.9,-1.4,0.2,1.7,-0.1
South East,E07000181,West Oxfordshire,1.5,0.4,-6.2,5.1,3.3,3.8,2.1,11.9,-4.8,-0.5,4.6,25.9
South East,E07000207,Elmbridge,0.2,0.3,-5.2,3.9,3.1,2.1,7.2,18.9,5.9,3.7,1.8,1.8
South East,E07000208,Epsom and Ewell,0.6,0.1,-3.2,2.4,0.8,1.8,-9.9,7.4,1.3,-0.4,-1.7,-2.3
South East,E07000209,Guildford,0.2,1.1,-3.9,3.5,0.3,5.1,3.7,-0.7,11.5,-3.3,-4.7,3.7
South East,E07000210,Mole Valley,-1.0,6.6,-2.6,1.9,-0.1,13.9,5.5,-6.2,-6.1,0.6,-2.2,-3.4
South East,E07000211,Reigate and Banstead,0.4,-1.0,-3.9,2.6,0.3,-0.4,8.1,-10.6,10.6,-6.8,-1.8,-7.3
South East,E07000212,Runnymede,3.3,4.6,-1.0,4.3,0.1,13.1,5.8,7.0,-3.8,8.9,7.1,-4.1
South East,E07000213,Spelthorne,-0.2,-0.5,-4.1,3.1,1.4,-0.2,21.1,5.8,-3.1,-2.5,-3.0,10.1
South East,E07000214,Surrey Heath,1.6,0.3,-3.1,8.0,-0.4,5.4,7.0,-7.0,7.4,-3.3,-1.1,9.7
South East,E07000215,Tandridge,1.1,-0.4,-6.3,5.9,3.0,-2.9,2.4,10.3,4.9,-0.1,-2.3,-3.9
South East,E07000216,Waverley,-1.2,-1.7,-2.5,4.6,1.4,1.6,-8.1,1.2,4.8,-3.6,5.8,-7.1
South East,E07000217,Woking,-1.1,-0.3,-4.2,2.6,2.1,-11.0,4.6,12.2,-7.0,-6.3,6.5,0.1
South East,E07000223,Adur,0.5,-0.2,-6.4,5.2,0.2,5.5,-7.4,2.1,7.5,7.2,-2.8,-1.2
South East,E07000224,Arun,-0.7,1.2,-4.1,6.4,2.1,0.2,4.2,4.5,-2.1,4.0,2.8,-0.9
South East,E07000225,Chichester,-1.9,1.6,-1.8,2.4,4.0,-0.4,0.8,-1.2,6.9,0.9,1.6,-0.8
South East,E07000226,Crawley,2.8,3.4,-7.3,0.7,2.9,3.5,4.0,0.7,7.5,4.1,-3.3,4.3
South East,E07000227,Horsham,1.0,1.3,-6.9,5.2,-0.9,-10.1,-3.6,2.5,3.1,2.5,0.9,1.4
South East,E07000228,Mid Sussex,0.9,1.0,-3.9,4.8,1.4,0.7,0.7,1.2,5.4,0.7,3.9,-3.9
South East,E07000229,Worthing,2.9,3.5,-10.8,9.5,-4.5,11.2,2.8,-9.8,6.4,4.9,3.2,1.1
South West,E06000022,Bath and North East Somerset,0.4,-1.1,-4.3,4.0,0.6,1.8,-0.3,2.9,-0.8,-1.5,1.5,0.2
South West,E06000023,"Bristol, City of",4.8,0.9,-1.7,2.9,0.8,1.5,0.9,4.6,-1.7,3.9,4.6,-3.0
South West,E06000024,North Somerset,2.1,-0.9,-5.2,2.5,1.7,3.7,8.7,2.8,1.2,3.1,2.6,3.2
South West,E06000025,South Gloucestershire,3.1,0.8,-2.0,6.6,0.2,-1.3,0.7,8.5,-1.3,4.9,-4.3,9.8
South West,E06000026,Plymouth,-0.5,-0.4,-1.6,6.9,1.7,2.9,2.9,2.4,-0.6,4.7,-1.8,1.4
South West,E06000027,Torbay,-0.9,-3.3,-4.9,2.8,0.7,-4.0,5.7,0.8,-0.4,2.6,1.9,-6.6
South West,E06000030,Swindon,6.6,-0.8,-7.0,4.4,2.1,-0.9,2.8,0.4,6.2,-12.6,-6.1,-1.3
South West,E06000052,Cornwall,-0.6,0.9,-5.6,3.9,2.6,-0.1,1.6,1.9,2.1,3.7,5.4,0.6
South West,E06000053,Isles of Scilly,-2.5,-3.8,4.2,4.6,11.6,2.3,-0.1,-3.3,27.4,11.6,16.1,-12.2
South West,E06000054,Wiltshire,1.7,0.7,-3.3,5.4,0.1,7.8,2.4,2.7,-1.6,17.3,5.8,-0.5
South West,E06000058,"Bournemouth, Christchurch and Poole",1.2,1.1,-2.2,0.0,1.1,0.3,3.3,-0.7,1.6,4.6,3.6,-1.4
South West,E06000059,Dorset,-1.1,0.1,-2.9,2.7,0.1,0.1,0.3,6.1,2.2,0.7,4.0,2.1
South West,E07000040,East Devon,-2.4,-1.6,-4.5,7.2,2.9,4.0,-7.5,1.8,2.8,-0.2,5.3,1.3
South West,E07000041,Exeter,0.1,-1.4,-3.3,1.9,-0.6,-0.5,7.0,-3.9,6.9,1.8,1.0,1.3
South West,E07000042,Mid Devon,-2.8,-0.9,-5.2,5.7,3.0,1.8,5.3,1.6,3.5,0.8,3.1,2.1
South West,E07000043,North Devon,-0.4,-2.1,-1.9,4.9,-0.3,-3.2,4.2,0.5,2.9,3.0,-1.0,3.9
South West,E07000044,South Hams,-1.1,-2.8,-5.1,7.4,4.9,-5.2,0.9,3.4,0.2,0.5,-2.5,6.8
South West,E07000045,Teignbridge,-1.7,-3.2,-5.5,8.1,1.5,-2.0,4.4,7.5,1.3,1.9,7.8,-5.4
South West,E07000046,Torridge,-3.3,-1.1,-4.4,6.1,1.1,0.7,2.2,0.3,-1.4,2.9,5.0,-3.9
South West,E07000047,West Devon,-2.8,-2.2,-4.4,4.0,1.0,-4.8,4.4,1.8,1.2,1.7,2.3,-1.3
South West,E07000078,Cheltenham,2.6,-0.2,-2.3,20.7,1.0,-1.6,-9.3,7.2,-1.7,-12.0,2.1,5.9
South West,E07000079,Cotswold,0.4,0.2,-3.0,6.2,-3.0,-3.8,9.6,-3.1,4.5,8.3,1.3,8.5
South West,E07000080,Forest of Dean,1.7,0.3,-9.6,6.6,5.4,13.9,5.0,4.7,-4.5,-15.5,11.1,1.8
South West,E07000081,Gloucester,1.7,-1.3,-2.7,5.7,-2.4,-0.4,-4.1,3.8,3.7,-2.3,1.5,-3.4
South West,E07000082,Stroud,2.2,-2.4,-4.3,8.8,3.2,3.0,-3.2,2.1,-1.1,10.2,1.8,7.3
South West,E07000083,Tewkesbury,3.0,-5.9,-4.0,4.2,2.3,6.7,3.1,5.9,5.0,-11.4,15.2,-5.9
South West,E07000187,Mendip,0.3,1.7,-5.3,2.6,5.1,-5.7,-3.9,1.1,0.6,4.1,0.1,-2.6
South West,E07000188,Sedgemoor,-0.8,-0.2,-4.6,3.9,3.9,4.9,-1.4,5.1,3.7,1.8,9.4,5.7
South West,E07000189,South Somerset,-1.2,-0.9,-3.4,7.4,2.4,0.3,-1.1,6.4,-2.8,-5.8,6.0,1.4
South West,E07000246,Somerset West and Taunton,-0.1,-0.5,-5.0,2.0,2.5,-4.1,3.0,5.0,1.2,3.4,0.6,1.3
Wales,W06000001,Isle of Anglesey,0.8,-5.2,-7.9,3.8,4.3,1.3,-3.9,-1.4,0.9,4.2,1.8,4.1
Wales,W06000002,Gwynedd,-0.2,-2.3,-4.1,0.8,6.2,-2.6,-3.0,1.7,4.6,-1.2,2.0,1.2
Wales,W06000003,Conwy,-1.6,-3.5,-4.4,3.8,5.1,3.5,4.7,2.2,4.4,1.4,3.5,4.7
Wales,W06000004,Denbighshire,-0.5,-2.1,-5.5,3.9,4.1,-2.1,4.6,3.6,-2.4,2.0,4.1,0.3
Wales,W06000005,Flintshire,2.1,-2.0,-5.2,5.5,5.0,1.2,0.6,-0.3,4.7,5.2,-5.4,2.6
Wales,W06000006,Wrexham,1.9,-5.5,-1.0,4.8,3.0,1.1,1.6,-1.2,-0.1,-3.0,2.8,1.7
Wales,W06000008,Ceredigion,-1.6,-2.5,-1.9,4.2,4.8,-2.9,4.3,-5.2,5.6,1.3,0.4,-1.9
Wales,W06000009,Pembrokeshire,-3.0,-7.0,-1.2,3.3,4.0,1.8,-2.2,-2.1,2.1,0.5,-2.2,-1.9
Wales,W06000010,Carmarthenshire,0.0,-2.4,-6.2,5.0,4.0,5.3,2.4,0.6,1.9,3.8,-1.0,0.6
Wales,W06000011,Swansea,0.4,0.7,-3.0,1.5,2.2,2.3,3.3,6.0,-1.9,3.1,-0.9,1.2
Wales,W06000012,Neath Port Talbot,-0.1,-0.9,-5.6,10.1,0.5,1.8,3.3,-3.0,-0.9,-0.5,6.2,6.6
Wales,W06000013,Bridgend,0.9,-4.2,-8.9,4.0,6.1,-0.9,1.4,3.2,0.1,-1.8,6.3,2.8
Wales,W06000014,Vale of Glamorgan,-1.2,-1.6,2.8,7.4,6.8,5.0,9.5,-0.8,-0.7,2.5,1.3,-0.8
Wales,W06000015,Cardiff,3.7,-3.2,-2.7,2.1,4.6,0.6,1.5,1.0,4.4,3.6,2.8,1.0
Wales,W06000016,Rhondda Cynon Taf,0.9,-1.2,-4.2,4.3,4.6,1.5,2.5,3.8,-1.8,2.0,0.8,-5.3
Wales,W06000018,Caerphilly,0.9,-2.7,-4.9,4.1,5.6,-5.7,4.8,2.5,5.4,0.9,-0.5,3.0
Wales,W06000019,Blaenau Gwent,0.2,-3.7,-7.1,2.8,7.3,6.2,-3.4,-3.7,3.6,-1.8,6.9,2.3
Wales,W06000020,Torfaen,0.1,-2.7,-6.1,4.6,5.0,-2.3,4.7,-1.6,0.0,-5.8,3.6,2.9
Wales,W06000021,Monmouthshire,0.7,-4.6,-4.3,-0.4,3.4,2.0,2.9,-2.1,5.1,-2.2,-0.5,4.6
Wales,W06000022,Newport,2.0,-6.3,-4.6,1.7,3.1,0.2,-2.9,0.3,0.4,7.7,0.9,5.5
Wales,W06000023,Powys,0.0,-5.9,-2.7,0.6,3.2,2.1,5.3,-1.4,3.7,3.5,-2.5,-1.4
Wales,W06000024,Merthyr Tydfil,0.8,-1.4,-2.0,1.2,4.1,-8.8,8.0,-1.4,3.3,-0.8,1.5,1.1
Scotland,S12000005,Clackmannanshire,3.4,-1.3,-5.6,-2.4,6.8,-2.4,2.4,7.2,6.4,2.1,-3.3,3.2
Scotland,S12000006,Dumfries and Galloway,-2.6,1.6,-4.6,1.1,3.3,-2.1,4.1,4.5,-2.5,1.3,2.3,0.2
Scotland,S12000008,East Ayrshire,-2.1,1.5,-5.2,1.9,0.9,0.7,-3.8,5.8,-1.0,-0.1,1.6,-1.8
Scotland,S12000010,East Lothian,0.5,-2.9,-4.5,7.3,5.5,0.2,9.2,0.8,1.4,2.5,1.8,2.4
Scotland,S12000011,East Renfrewshire,-4.2,2.3,-2.9,8.1,0.4,8.7,8.4,2.5,1.5,-2.9,8.4,-0.9
Scotland,S12000013,Na h-Eileanan Siar,0.3,0.6,-1.2,10.0,2.6,-3.7,-2.0,-1.6,-1.8,-5.2,0.3,3.7
Scotland,S12000014,Falkirk,-0.7,0.1,-6.8,-1.3,6.0,0.2,43.4,-0.2,3.8,-1.2,-22.4,10.5
Scotland,S12000017,Highland,0.3,0.4,-3.8,7.1,4.0,0.5,5.3,-0.2,0.0,2.1,2.3,0.2
Scotland,S12000018,Inverclyde,-2.6,1.7,-4.1,-0.2,3.3,-5.0,-0.8,5.6,-4.0,-0.1,-1.1,-8.3
Scotland,S12000019,Midlothian,-0.3,-0.2,-4.6,3.0,5.4,2.9,11.3,4.0,4.0,2.8,0.9,3.0
Scotland,S12000020,Moray,3.9,6.6,-0.7,1.7,10.7,-5.5,3.6,-3.7,0.1,-0.7,7.2,-1.4
Scotland,S12000021,North Ayrshire,-0.3,-0.8,-4.7,5.0,-0.6,1.2,4.6,1.3,-1.5,1.2,-2.9,0.4
Scotland,S12000023,Orkney Islands,0.9,0.0,1.0,9.2,3.6,-1.3,-9.6,-4.0,2.2,-6.0,-0.3,-0.4
Scotland,S12000026,Scottish Borders,-2.6,0.9,-3.2,2.9,4.1,-1.4,2.4,8.6,-1.0,0.7,4.7,1.6
Scotland,S12000027,Shetland Islands,1.9,-0.8,3.1,2.5,1.8,-5.1,2.1,4.8,-5.9,-7.8,3.8,-7.7
Scotland,S12000028,South Ayrshire,-1.4,2.0,-2.5,2.9,3.3,-6.1,-3.4,8.1,1.5,2.1,2.9,-1.0
Scotland,S12000029,South Lanarkshire,-1.6,2.1,-6.6,2.5,4.8,-1.1,3.7,2.8,-1.6,3.0,2.3,-1.8
Scotland,S12000030,Stirling,2.5,-1.7,-3.6,1.8,-5.0,0.9,5.3,-4.7,1.9,-2.2,7.7,-0.9
Scotland,S12000033,Aberdeen City,10.8,2.6,-1.5,3.9,6.4,5.2,5.0,3.8,-7.3,-6.7,-3.7,2.3
Scotland,S12000034,Aberdeenshire,8.5,0.8,-3.7,3.2,9.0,-1.5,5.0,6.9,-0.2,-1.1,0.5,-1.2
Scotland,S12000035,Argyll and Bute,0.0,0.2,-1.1,2.5,4.5,1.6,-2.8,2.2,-4.8,-1.3,4.5,-2.0
Scotland,S12000036,City of Edinburgh,0.9,-0.5,-1.5,-1.1,0.2,3.3,2.6,0.3,4.5,4.6,3.3,3.7
Scotland,S12000038,Renfrewshire,-1.1,1.0,-5.0,1.1,6.6,-1.5,2.5,6.0,2.0,-5.5,2.9,4.0
Scotland,S12000039,West Dunbartonshire,-1.8,0.8,-4.6,2.1,7.7,-2.1,0.5,7.2,-1.0,0.5,6.1,-2.7
Scotland,S12000040,West Lothian,0.4,-0.9,-0.5,2.3,2.9,-36.5,-2.5,3.1,9.4,-0.4,1.7,0.9
Scotland,S12000041,Angus,-0.1,-2.1,-5.5,1.6,3.7,7.4,0.3,5.6,-4.4,6.8,-11.9,2.2
Scotland,S12000042,Dundee City,-0.5,-0.6,-3.5,1.6,2.0,68.4,-26.4,-1.0,-12.1,-1.9,0.6,-0.6
Scotland,S12000044,North Lanarkshire,-1.6,1.6,-5.5,2.7,2.6,2.6,3.6,9.0,-0.9,1.8,4.9,0.6
Scotland,S12000045,East Dunbartonshire,-3.7,3.9,4.8,-1.0,0.2,-16.2,1.4,5.6,3.7,0.6,3.5,4.0
Scotland,S12000046,Glasgow City,0.5,0.6,-4.7,-0.8,3.3,1.3,2.4,-0.1,0.3,0.9,1.2,2.1
Scotland,S12000047,Fife,2.5,-0.7,-4.6,2.1,2.7,-4.6,4.5,3.2,1.7,0.9,17.1,-4.6
Scotland,S12000048,Perth and Kinross,-0.9,-3.6,-1.2,5.0,5.4,0.0,6.6,2.6,1.5,1.9,-1.2,-4.0
Northern Ireland,N09000001,Antrim and Newtownabbey,2.1,-4.0,-6.5,2.1,4.8,0.3,0.5,5.9,1.7,2.5,4.8,-2.5
Northern Ireland,N09000002,"Armagh City, Banbridge and Craigavon",1.7,-3.1,-5.1,2.1,3.6,-0.9,4.2,3.0,2.4,4.9,1.7,-0.7
Northern Ireland,N09000003,Belfast,1.4,-1.7,-3.6,-1.5,2.8,1.3,1.8,0.8,2.9,2.2,5.3,0.8
Northern Ireland,N09000004,Causeway Coast and Glens,-1.3,-4.8,-4.4,2.5,5.1,0.6,-0.1,1.9,-4.3,2.2,5.7,-2.4
Northern Ireland,N09000005,Derry City and Strabane,-1.3,-1.1,-3.4,0.6,3.3,1.2,1.8,-1.3,-0.8,7.8,4.1,0.3
Northern Ireland,N09000006,Fermanagh and Omagh,-2.0,-2.3,-5.5,0.2,1.9,0.7,0.8,2.9,1.0,3.8,5.0,-2.7
Northern Ireland,N09000007,Lisburn and Castlereagh,0.2,-3.6,-2.0,2.5,3.4,5.4,6.3,0.6,4.2,0.9,1.7,4.8
Northern Ireland,N09000008,Mid and East Antrim,-2.4,-0.3,0.7,-0.7,-3.6,0.4,-5.9,0.3,20.1,-11.0,-24.9,-10.1
Northern Ireland,N09000009,Mid Ulster,0.7,-7.3,-10.1,4.5,4.0,-0.3,0.8,5.2,-1.2,5.2,7.7,3.5
Northern Ireland,N09000010,"Newry, Mourne and Down",-0.5,-2.8,-4.7,0.8,4.2,3.9,1.5,4.6,1.1,2.9,4.3,-2.4
Northern Ireland,N09000011,Ards and North Down,-0.8,-3.4,-5.7,0.9,4.4,1.6,-2.0,3.4,-2.0,4.7,3.5,0.5
,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,
1 Workplace-based estimates are allocated to the region in which the economic activity takes place. ,,,,,,,,,,,,,,
"2 Use of implied deflators duplicates the effect of chain-linking, though technically this results in constant price volume measures.",,,,,,,,,,,,,,
3 Provisional. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
