LA name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Hastings,"1,246","1,350","1,308","1,364","1,450","1,432","1,453","1,536","1,619","1,722","1,721","1,765"
Lewes,"1,600","1,679","1,603","1,649","1,671","1,679","1,738","1,847","2,005","2,050","2,111","2,153"
Rother,"1,142","1,218","1,136","1,170","1,200","1,208","1,295","1,361","1,464","1,566","1,531","1,488"
Wealden,"2,192","2,313","2,160","2,278","2,342","2,375","2,459","2,615","2,773","2,894","3,051","2,986"
Basingstoke and Deane,"5,774","5,945","6,056","6,248","6,414","6,984","7,448","7,245","7,194","7,100","7,635","8,132"
East Hampshire,"2,605","2,662","2,630","2,842","3,018","3,117","3,082","3,018","2,959","2,700","2,913","2,894"
Eastleigh,"3,212","3,272","3,124","3,307","3,447","3,693","3,727","4,148","4,211","4,310","4,374","4,647"
Fareham,"2,169","2,238","2,130","2,250","2,352","2,568","2,698","3,153","2,974","3,097","3,165","3,244"
Gosport,940,983,950,991,"1,015","1,008","1,076","1,152","1,121","1,162","1,167","1,225"
Hart,"2,859","2,918","2,731","2,913","2,992","2,925","3,148","3,345","3,589","3,884","3,841","3,839"
Havant,"2,335","2,500","2,408","2,668","2,791","2,942","3,093","3,107","3,149","3,204","3,125","2,988"
New Forest,"7,103","6,123","6,356","7,210","7,318","7,384","6,931","6,812","7,283","6,950","7,410","7,369"
Rushmoor,"2,587","2,702","2,643","2,810","2,915","2,937","2,994","3,088","3,389","3,513","3,669","3,960"
Test Valley,"2,611","2,686","2,558","2,737","2,891","2,927","3,109","4,100","3,660","3,798","3,885","4,090"
Winchester,"3,668","3,821","3,735","3,916","4,129","4,325","4,443","4,840","5,215","5,673","5,804","5,754"
Ashford,"2,374","2,500","2,393","2,480","2,600","2,601","2,752","2,919","3,122","3,330","3,363","3,426"
Canterbury,"2,727","2,879","2,762","2,904","2,967","3,072","3,176","3,439","3,417","3,433","3,589","3,659"
Dartford,"2,951","3,106","2,928","3,057","3,145","3,275","3,540","3,779","4,002","4,353","4,092","4,177"
Dover,"1,883","2,009","1,939","2,075","2,139","2,276","2,344","2,435","2,547","2,553","2,605","2,725"
Gravesham,"1,424","1,697","1,533","1,682","1,700","1,692","1,866","1,907","2,008","2,547","2,308","2,423"
Maidstone,"3,255","3,434","3,263","3,416","3,587","3,536","3,724","3,959","4,091","4,371","4,509","4,659"
Sevenoaks,"2,681","2,742","2,547","2,692","2,893","3,332","3,402","3,489","3,807","4,025","4,303","4,408"
Folkestone and Hythe,"1,845","1,938","1,862","1,901","1,972","2,076","2,159","2,124","2,211","2,432","2,532","2,500"
Swale,"2,559","2,676","2,465","2,655","2,747","2,512","2,746","2,866","2,996","3,189","3,224","3,272"
Thanet,"1,841","1,962","1,854","1,941","1,980","2,005","2,083","2,141","2,213","2,297","2,424","2,462"
Tonbridge and Malling,"3,418","3,550","3,435","3,572","3,775","3,746","3,830","3,962","4,103","4,215","4,552","4,605"
Tunbridge Wells,"2,762","2,914","2,867","3,009","3,208","3,095","3,139","3,242","3,643","4,057","4,006","3,908"
Cherwell,"3,785","4,026","3,928","3,990","4,153","4,401","4,533","4,820","5,083","5,250","5,306","5,183"
Oxford,"4,464","4,783","4,729","4,914","5,118","5,402","5,501","6,175","6,436","6,439","6,255","6,391"
South Oxfordshire,"3,168","3,267","3,118","3,304","3,536","3,626","3,865","4,029","4,412","4,193","4,513","4,452"
Vale of White Horse,"3,303","3,443","3,418","3,585","3,701","3,896","4,175","4,192","4,214","4,276","4,431","4,508"
West Oxfordshire,"1,946","2,059","1,952","2,063","2,153","2,293","2,390","2,699","2,635","2,693","2,843","3,623"
Elmbridge,"3,628","3,751","3,580","3,728","3,883","4,029","4,325","5,260","5,707","5,993","6,287","6,422"
Epsom and Ewell,"1,687","1,732","1,725","1,755","1,786","1,828","1,653","1,816","1,879","1,904","1,914","1,895"
Guildford,"3,836","4,024","3,946","4,119","4,167","4,425","4,611","4,671","5,331","5,259","5,085","5,350"
Mole Valley,"3,435","3,643","3,584","3,659","3,761","4,510","4,899","4,888","4,341","4,527","4,444","4,370"
Reigate and Banstead,"6,657","6,590","6,637","6,697","6,776","6,939","7,445","7,061","7,328","7,110","7,114","6,736"
Runnymede,"3,866","4,169","4,277","4,348","4,353","4,994","5,216","5,766","5,562","6,071","6,579","6,518"
Spelthorne,"2,653","2,725","2,674","2,742","2,801","2,857","3,501","3,784","3,768","3,764","3,708","4,145"
Surrey Heath,"2,523","2,592","2,526","2,806","2,825","3,002","3,280","3,093","3,401","3,342","3,362","3,738"
Tandridge,"1,568","1,635","1,523","1,599","1,669","1,675","1,736","1,950","2,091","2,128","2,110","2,062"
Waverley,"3,105","3,204","3,123","3,207","3,312","3,435","3,166","3,298","3,530","3,473","3,767","3,541"
Woking,"3,194","3,267","3,292","3,341","3,401","3,049","3,266","3,731","3,540","3,388","3,662","3,703"
Adur,"1,006","1,042",977,"1,025","1,039","1,134","1,068","1,124","1,228","1,343","1,325","1,328"
Arun,"1,906","2,018","1,893","2,011","2,102","2,159","2,286","2,454","2,456","2,627","2,757","2,760"
Chichester,"2,584","2,746","2,697","2,762","2,916","2,988","3,077","3,107","3,383","3,508","3,627","3,635"
Crawley,"4,064","4,448","4,264","4,434","4,554","4,776","5,147","5,337","5,878","6,184","5,931","6,309"
Horsham,"3,182","3,375","3,166","3,328","3,385","3,129","3,020","3,178","3,325","3,489","3,576","3,668"
Mid Sussex,"2,677","2,807","2,713","2,857","2,931","3,029","3,096","3,199","3,446","3,552","3,756","3,655"
Worthing,"2,661","2,923","2,653","2,920","2,881","3,235","3,355","3,123","3,373","3,666","3,878","3,982"
Bath and North East Somerset,"3,716","3,832","3,721","3,910","3,962","4,095","4,126","4,353","4,366","4,390","4,534","4,595"
"Bristol, City of","11,499","11,935","12,320","12,650","12,791","13,060","13,362","14,250","14,268","15,139","16,174","15,950"
North Somerset,"3,555","3,677","3,531","3,672","3,742","3,976","4,411","4,609","4,754","5,002","5,208","5,454"
South Gloucestershire,"8,815","9,102","8,969","9,364","9,716","9,635","9,937","11,148","10,893","11,734","11,389","12,865"
Plymouth,"4,381","4,568","4,485","4,712","4,895","5,114","5,283","5,490","5,589","5,937","5,971","6,152"
Torbay,"2,111","2,125","2,020","2,098","2,134","2,076","2,195","2,267","2,283","2,399","2,497","2,364"
Swindon,"9,827","10,251","10,273","10,386","10,402","10,308","11,001","11,360","12,071","10,620","10,144","10,244"
Cornwall,"8,809","9,258","8,783","9,090","9,386","9,700","10,008","10,312","10,703","11,360","12,175","12,431"
Isles of Scilly,58,58,58,60,69,74,77,75,100,118,140,124
Wiltshire,"9,400","9,798","9,541","9,898","10,101","11,043","11,318","11,887","11,825","14,159","15,254","15,449"
"Bournemouth, Christchurch and Poole","8,610","8,919","8,965","8,908","9,124","9,273","9,781","9,926","10,276","10,938","11,558","11,586"
Dorset,"6,454","6,875","6,554","6,771","6,901","7,227","7,369","7,885","8,052","8,296","8,800","9,136"
East Devon,"2,346","2,396","2,287","2,404","2,515","2,724","2,567","2,703","2,753","2,837","3,036","3,112"
Exeter,"4,213","4,313","4,337","4,396","4,387","4,489","4,875","4,793","5,201","5,411","5,576","5,770"
Mid Devon,"1,067","1,103","1,059","1,123","1,154","1,219","1,313","1,346","1,418","1,470","1,537","1,590"
North Devon,"1,847","1,885","1,839","1,950","1,983","1,958","2,069","2,119","2,216","2,345","2,367","2,496"
South Hams,"1,748","1,777","1,682","1,781","1,897","1,859","1,909","2,027","2,067","2,132","2,117","2,301"
Teignbridge,"1,898","1,922","1,812","1,959","2,013","2,037","2,160","2,357","2,437","2,545","2,777","2,664"
Torridge,850,887,850,898,918,962,"1,004","1,013","1,015","1,074","1,148","1,112"
West Devon,749,766,729,756,769,761,810,832,856,895,929,928
Cheltenham,"2,519","2,600","2,587","3,117","3,193","3,189","2,936","3,225","3,246","2,910","3,019","3,252"
Cotswold,"2,718","2,711","2,694","2,811","2,785","2,783","3,093","3,151","3,119","3,547","3,636","4,008"
Forest of Dean,"1,291","1,330","1,235","1,330","1,420","1,625","1,662","1,780","1,727","1,498","1,678","1,731"
Gloucester,"2,941","2,983","3,019","3,176","3,129","3,206","3,127","3,327","3,512","3,473","3,599","3,564"
Stroud,"2,015","2,045","1,969","2,188","2,254","2,366","2,373","2,457","2,502","2,794","2,889","3,140"
Tewkesbury,"2,038","2,050","2,012","2,156","2,237","2,397","2,527","2,677","2,911","2,606","3,032","2,906"
Mendip,"2,306","2,450","2,352","2,398","2,499","2,429","2,367","2,434","2,490","2,641","2,685","2,649"
Sedgemoor,"1,768","1,831","1,784","1,856","1,934","2,075","2,100","2,218","2,345","2,431","2,689","2,890"
South Somerset,"3,026","3,131","3,020","3,180","3,303","3,370","3,346","3,593","3,562","3,423","3,677","3,787"
Somerset West and Taunton,"2,932","3,002","2,911","2,935","3,045","3,015","3,142","3,396","3,444","3,625","3,717","3,833"
Isle of Anglesey,989,974,909,927,970,"1,028","1,016","1,018","1,056","1,140","1,176","1,244"
Gwynedd,"2,419","2,488","2,435","2,443","2,607","2,640","2,585","2,674","2,819","2,825","2,915","3,001"
Conwy,"1,505","1,503","1,424","1,490","1,587","1,685","1,780","1,856","1,963","2,030","2,141","2,280"
Denbighshire,"1,554","1,571","1,502","1,567","1,650","1,656","1,750","1,837","1,827","1,910","2,015","2,051"
Flintshire,"2,927","2,948","2,899","3,069","3,255","3,366","3,451","3,489","3,715","3,961","3,797","3,973"
Wrexham,"2,752","2,712","2,753","2,907","2,993","3,096","3,216","3,200","3,272","3,249","3,370","3,491"
Ceredigion,"1,211","1,228","1,206","1,260","1,338","1,323","1,382","1,338","1,430","1,486","1,527","1,519"
Pembrokeshire,"3,286","3,201","3,066","3,250","3,307","3,613","3,662","3,644","3,688","3,851","3,892","3,968"
Carmarthenshire,"2,630","2,662","2,540","2,669","2,778","3,019","3,146","3,218","3,330","3,487","3,504","3,601"
Swansea,"4,329","4,428","4,436","4,497","4,662","4,863","5,116","5,588","5,446","5,822","5,903","6,073"
Neath Port Talbot,"1,955","2,019","1,935","2,174","2,224","2,300","2,456","2,462","2,509","2,596","2,828","3,076"
Bridgend,"2,671","2,685","2,509","2,669","2,832","2,860","2,987","3,143","3,183","3,190","3,424","3,563"
Vale of Glamorgan,"1,967","2,025","2,036","2,062","2,282","2,415","2,617","2,607","2,673","2,718","2,790","2,824"
Cardiff,"9,272","9,161","9,189","9,230","9,751","10,089","10,439","10,907","11,278","12,023","12,603","12,974"
Rhondda Cynon Taf,"3,220","3,295","3,241","3,445","3,617","3,775","3,919","4,081","4,097","4,225","4,289","4,174"
Caerphilly,"2,323","2,340","2,283","2,409","2,601","2,495","2,681","2,775","2,990","3,123","3,166","3,311"
Blaenau Gwent,791,785,751,785,851,920,913,900,950,955,"1,048","1,087"
Torfaen,"1,418","1,426","1,363","1,438","1,525","1,520","1,631","1,631","1,664","1,598","1,685","1,759"
Monmouthshire,"2,182","2,195","2,128","2,118","2,172","2,267","2,370","2,365","2,516","2,495","2,521","2,675"
Newport,"3,436","3,316","3,262","3,323","3,469","3,516","3,470","3,547","3,618","4,017","4,142","4,457"
Powys,"2,098","2,043","2,007","2,020","2,093","2,176","2,324","2,317","2,450","2,608","2,585","2,590"
Merthyr Tydfil,965,970,957,967,"1,023",946,"1,031","1,050","1,097","1,128","1,182","1,217"
Clackmannanshire,890,916,874,855,898,898,910,"1,001","1,088","1,132","1,114","1,173"
Dumfries and Galloway,"2,546","2,669","2,615","2,611","2,707","2,782","2,966","3,102","3,071","3,211","3,345","3,406"
East Ayrshire,"1,643","1,704","1,654","1,647","1,680","1,755","1,718","1,841","1,844","1,889","1,967","1,964"
East Lothian,"1,386","1,399","1,337","1,400","1,474","1,538","1,703","1,765","1,823","1,888","1,954","2,043"
East Renfrewshire,819,870,814,870,887,991,"1,088","1,145","1,188","1,183","1,298","1,302"
Na h-Eileanan Siar,527,550,550,606,631,623,607,615,605,591,613,645
Falkirk,"3,403","3,541","3,503","3,474","3,689","3,750","5,508","5,669","5,955","6,052","4,783","5,430"
Highland,"5,004","5,201","5,070","5,389","5,666","5,859","6,219","6,340","6,427","6,684","6,977","7,133"
Inverclyde,"1,263","1,330","1,292","1,283","1,354","1,312","1,322","1,438","1,411","1,469","1,483","1,379"
Midlothian,"1,142","1,187","1,131","1,159","1,235","1,293","1,440","1,532","1,618","1,706","1,759","1,841"
Moray,"1,927","2,141","2,153","2,164","2,315","2,273","2,372","2,340","2,379","2,392","2,610","2,626"
North Ayrshire,"1,811","1,900","1,836","1,919","1,957","2,044","2,198","2,281","2,264","2,346","2,329","2,376"
Orkney Islands,577,603,621,667,700,717,659,650,676,659,687,708
Scottish Borders,"1,686","1,753","1,715","1,767","1,824","1,888","1,966","2,146","2,144","2,226","2,369","2,447"
Shetland Islands,686,722,777,812,829,810,849,927,860,806,881,840
South Ayrshire,"1,842","1,951","1,921","1,991","2,029","1,974","1,934","2,126","2,199","2,292","2,376","2,396"
South Lanarkshire,"4,869","5,153","5,030","4,972","5,187","5,327","5,662","5,926","5,936","6,154","6,363","6,410"
Stirling,"2,533","2,484","2,454","2,455","2,380","2,516","2,700","2,673","2,674","2,683","2,919","2,959"
Aberdeen City,"9,480","10,329","10,222","10,634","10,981","11,843","12,640","12,873","12,333","11,263","11,084","11,599"
Aberdeenshire,"6,173","6,588","6,375","6,518","6,936","7,115","7,640","8,159","8,309","8,138","8,290","8,410"
Argyll and Bute,"1,699","1,775","1,774","1,801","1,903","2,013","1,997","2,073","2,015","2,041","2,189","2,190"
City of Edinburgh,"18,417","18,246","18,775","18,349","18,731","19,787","20,726","21,537","22,084","23,886","25,162","26,560"
Renfrewshire,"3,400","3,592","3,496","3,549","3,709","3,727","3,872","4,179","4,358","4,202","4,354","4,599"
West Dunbartonshire,"1,539","1,607","1,572","1,595","1,672","1,659","1,669","1,841","1,859","1,897","2,071","2,055"
West Lothian,"6,297","6,518","6,444","6,655","6,828","4,361","4,216","4,442","4,923","4,998","5,192","5,345"
Angus,"1,847","1,862","1,780","1,811","1,867","2,082","2,148","2,295","2,211","2,410","2,158","2,240"
Dundee City,"3,138","3,196","3,144","3,237","3,350","5,728","4,278","4,309","3,860","3,854","3,974","4,015"
North Lanarkshire,"5,685","6,019","5,834","5,921","6,093","6,441","6,783","7,546","7,600","7,862","8,416","8,659"
East Dunbartonshire,"1,358","1,466","1,511","1,478","1,498","1,288","1,322","1,435","1,519","1,556","1,637","1,729"
Glasgow City,"17,730","18,190","17,926","17,529","18,244","18,778","19,602","20,045","20,275","20,941","21,658","22,510"
Fife,"6,681","6,954","6,711","6,838","7,058","6,914","7,325","7,691","7,985","8,237","9,845","9,559"
Perth and Kinross,"3,474","3,527","3,636","3,644","3,787","4,028","4,394","4,606","4,751","4,832","4,825","4,752"
Antrim and Newtownabbey,"2,738","2,725","2,610","2,682","2,822","2,872","2,922","3,151","3,254","3,390","3,596","3,578"
"Armagh City, Banbridge and Craigavon","3,412","3,401","3,312","3,398","3,518","3,583","3,796","3,929","4,086","4,389","4,547","4,584"
Belfast,"11,115","11,239","11,269","11,071","11,469","11,770","12,169","12,497","13,012","13,654","14,731","15,156"
Causeway Coast and Glens,"2,139","2,139","2,071","2,142","2,279","2,340","2,364","2,435","2,373","2,489","2,677","2,650"
Derry City and Strabane,"2,355","2,395","2,362","2,377","2,489","2,580","2,667","2,686","2,667","2,970","3,157","3,217"
Fermanagh and Omagh,"1,955","1,952","1,877","1,883","1,920","2,016","2,056","2,167","2,195","2,331","2,478","2,445"
Lisburn and Castlereagh,"2,563","2,561","2,514","2,542","2,653","2,847","3,022","3,068","3,284","3,366","3,494","3,742"
Mid and East Antrim,"3,239","3,469","3,671","3,631","3,556","3,812","3,788","3,805","4,578","4,764","4,813","4,147"
Mid Ulster,"2,726","2,604","2,385","2,521","2,605","2,697","2,823","2,966","3,006","3,188","3,453","3,635"
"Newry, Mourne and Down","2,398","2,431","2,328","2,361","2,502","2,663","2,738","2,909","2,965","3,136","3,345","3,314"
Ards and North Down,"1,897","1,904","1,787","1,813","1,914","2,006","1,981","2,087","2,080","2,238","2,378","2,419"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
