LA name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Craven,"1,150","1,154","1,141","1,179","1,217","1,241","1,264","1,335","1,377","1,433","1,624","1,654"
Hambleton,"1,998","2,034","1,958","1,979","2,047","2,045","2,265","2,251","2,319","2,387","2,452","2,472"
Harrogate,"3,482","3,526","3,372","3,456","3,668","3,665","3,867","3,934","4,084","4,337","4,722","4,712"
Richmondshire,736,747,721,738,786,796,866,852,855,886,962,978
Ryedale,969,985,926,949,"1,024","1,135","1,139","1,250","1,264","1,383","1,466","1,448"
Scarborough,"1,827","1,863","1,840","1,838","1,938","1,948","1,951","2,025","2,067","2,114","2,296","2,317"
Selby,"2,356","2,423","2,487","2,379","2,374","2,487","2,494","2,453","2,520","2,551","2,585","2,737"
Barnsley,"3,454","3,356","3,245","3,398","3,529","3,682","3,866","3,997","3,996","4,081","4,302","4,499"
Doncaster,"4,635","4,643","4,408","4,636","4,738","4,852","5,044","5,263","5,775","5,904","6,432","6,609"
Rotherham,"4,114","4,090","3,919","4,153","4,314","4,584","4,702","4,983","5,149","5,388","5,364","5,567"
Sheffield,"11,440","11,216","11,189","11,554","12,035","12,238","12,644","12,843","13,153","13,569","14,085","14,334"
Bradford,"8,379","8,526","8,401","8,546","8,971","9,424","9,685","9,808","10,259","10,569","11,056","10,982"
Calderdale,"3,891","3,703","3,587","3,678","3,855","4,006","4,251","4,781","5,087","5,141","5,229","5,364"
Kirklees,"6,450","6,496","6,309","6,423","6,657","6,917","7,174","7,536","7,837","8,146","8,504","8,661"
Leeds,"22,388","22,122","21,901","22,220","23,062","23,394","23,920","24,629","25,795","26,400","27,034","28,805"
Wakefield,"6,431","6,603","6,288","6,241","6,592","7,013","7,371","7,483","7,889","8,168","8,344","8,781"
Derby,"6,610","6,470","6,475","6,557","6,949","6,870","7,057","7,093","7,360","7,405","7,228","7,872"
Leicester,"6,543","6,759","6,636","6,956","7,174","7,099","7,388","7,916","8,306","8,838","9,031","9,205"
Rutland,693,717,692,758,724,754,726,733,773,832,863,857
Nottingham,"8,475","8,898","8,694","8,990","9,427","9,770","10,098","10,763","10,986","10,715","11,273","11,413"
Amber Valley,"2,249","2,283","2,167","2,302","2,329","2,340","2,439","2,531","2,570","2,731","2,804","2,806"
Bolsover,"1,889","2,396","2,164","2,258","2,473","2,588","2,770","3,027","3,076","3,615","3,586","2,975"
Chesterfield,"1,896","1,923","1,865","2,079","2,124","2,232","2,207","2,261","2,444","2,500","2,566","2,699"
Derbyshire Dales,"1,354","1,384","1,316","1,470","1,539","1,615","1,575","1,637","1,602","1,763","1,890","1,929"
Erewash,"1,384","1,390","1,328","1,429","1,520","1,547","1,617","1,616","1,688","1,793","1,877","1,832"
High Peak,"1,456","1,452","1,368","1,420","1,498","1,519","1,473","1,464","1,526","1,616","1,709","1,687"
North East Derbyshire,"1,106","1,143","1,089","1,177","1,239","1,255","1,308","1,411","1,547","1,556","1,582","2,334"
South Derbyshire,"1,838","1,891","1,777","2,053","2,152","2,212","2,657","2,780","2,652","2,978","3,080","2,719"
Blaby,"2,780","2,907","3,042","3,052","2,964","3,276","3,562","3,729","3,700","3,652","3,847","4,173"
Charnwood,"3,139","3,303","3,188","3,310","3,291","3,379","3,354","3,439","3,579","3,888","3,899","4,004"
